scene,shift_pixels,ssim_real_right_vs_synth
artroom1,8,0.759423
artroom2,8,0.842744
bandsaw1,8,0.877321
bandsaw2,8,0.915917
chess1,8,0.731156
chess2,8,0.808703
chess3,8,0.760229
curule1,8,0.797084
curule2,8,0.773152
curule3,8,0.815725
ladder1,8,0.800507
ladder2,8,0.809627
octogons1,8,0.703258
octogons2,8,0.852806
pendulum1,8,0.765981
pendulum2,8,0.801594
podium1,8,0.767464
skates1,8,0.656211
skates2,8,0.776147
skiboots1,8,0.775391
skiboots2,8,0.701535
skiboots3,8,0.709740
traproom1,8,0.731716
traproom2,8,0.777815
