scene,transform_family,left_keypoints,right_keypoints,raw_knn_matches,ratio_test_matches,repeatable_matches,repeatability
artroom1,intensity,800,800,800,662,652,0.815000
artroom2,affine,800,800,800,580,561,0.701250
bandsaw1,intensity,801,800,801,475,422,0.527500
bandsaw2,rotation,800,800,800,572,458,0.572500
chess1,intensity,800,800,800,454,409,0.511250
chess2,intensity,800,800,800,523,493,0.616250
chess3,affine,800,800,800,563,529,0.661250
curule1,rotation,800,800,800,554,510,0.637500
curule2,rotation,801,800,801,520,493,0.616250
curule3,rotation,800,800,800,506,482,0.602500
ladder1,rotation,800,800,800,526,474,0.592500
ladder2,intensity,800,800,800,612,584,0.730000
octogons1,affine,800,800,800,447,404,0.505000
octogons2,affine,800,801,800,505,473,0.591250
pendulum1,intensity,800,800,800,651,617,0.771250
pendulum2,affine,801,800,801,580,518,0.647500
podium1,affine,800,800,800,515,465,0.581250
skates1,rotation,801,800,801,500,454,0.567500
skates2,affine,800,800,800,563,519,0.648750
skiboots1,intensity,801,800,801,447,399,0.498750
skiboots2,affine,800,800,800,556,536,0.670000
skiboots3,intensity,800,800,800,664,638,0.797500
traproom1,rotation,800,800,800,537,499,0.623750
traproom2,rotation,800,800,800,472,432,0.540000
