scene,transform_family,random_seed,left_keypoints,right_keypoints,raw_knn_matches,ratio_test_matches,repeatable_matches,repeatability,repeatability_proxy,homography_threshold_px,transform_params_json
artroom1,intensity,3235362879,800,800,800,676,665,0.831250,0.831250,4.00,"{""alpha"": 0.8093113506001378, ""beta"": 24.797631190054, ""blur_kernel"": 0, ""family"": ""intensity"", ""gamma"": 1.2365876269806977, ""noise_sigma"": 3.467973831687405}"
artroom2,affine,433643143,800,800,800,607,593,0.741250,0.741250,4.00,"{""angle_deg"": -0.1841102493535658, ""family"": ""affine"", ""scale"": 1.0297479736633646, ""shear_x"": -0.049156794897944174, ""shear_y"": -0.010906687134852057, ""tx_px"": -88.03560405482781, ""ty_px"": 52.13433559061719}"
bandsaw1,intensity,3015410900,800,800,800,550,506,0.632500,0.632500,4.00,"{""alpha"": 0.9432689726020492, ""beta"": 17.129079390331327, ""blur_kernel"": 5, ""family"": ""intensity"", ""gamma"": 0.8412229485023491, ""noise_sigma"": 4.235891062661166}"
bandsaw2,rotation,4189640048,800,800,800,548,441,0.551250,0.551250,4.00,"{""angle_deg"": 8.145683484994326, ""family"": ""rotation"", ""scale"": 1.0620482094886612, ""tx_px"": -12.602600398985, ""ty_px"": 26.173946518277212}"
chess1,intensity,1128412298,800,800,800,531,488,0.610000,0.610000,4.00,"{""alpha"": 1.0943437099460636, ""beta"": -27.33946388820528, ""blur_kernel"": 5, ""family"": ""intensity"", ""gamma"": 1.279547894299948, ""noise_sigma"": 3.1358751849171655}"
chess2,intensity,4252328372,800,800,800,572,555,0.693750,0.693750,4.00,"{""alpha"": 1.059614770154993, ""beta"": 16.023504040848728, ""blur_kernel"": 5, ""family"": ""intensity"", ""gamma"": 1.0354714627526034, ""noise_sigma"": 1.1199318428820808}"
chess3,affine,1484047714,800,800,800,593,561,0.701250,0.701250,4.00,"{""angle_deg"": -7.487513473724327, ""family"": ""affine"", ""scale"": 0.9750404779255496, ""shear_x"": 0.04656626101110234, ""shear_y"": 0.011753749886444509, ""tx_px"": 81.45096219555828, ""ty_px"": -9.03687995107891}"
curule1,rotation,1590373203,800,800,800,549,521,0.651250,0.651250,4.00,"{""angle_deg"": 12.178745578166424, ""family"": ""rotation"", ""scale"": 0.8788304329692622, ""tx_px"": 29.783295771941678, ""ty_px"": -32.124405592242134}"
curule2,rotation,2063631961,800,800,800,518,491,0.613750,0.613750,4.00,"{""angle_deg"": 20.161579376751515, ""family"": ""rotation"", ""scale"": 1.1079498574982964, ""tx_px"": -52.35389713973613, ""ty_px"": -18.82808663760427}"
curule3,rotation,744256530,800,800,800,482,454,0.567500,0.567500,4.00,"{""angle_deg"": 19.794138668062587, ""family"": ""rotation"", ""scale"": 0.9006319327713384, ""tx_px"": -33.88626882438403, ""ty_px"": -16.729271162476483}"
ladder1,rotation,1667624484,800,800,800,548,512,0.640000,0.640000,4.00,"{""angle_deg"": 16.923289388660013, ""family"": ""rotation"", ""scale"": 1.0406478799157224, ""tx_px"": -0.8267731177740124, ""ty_px"": 0.445993257275758}"
ladder2,intensity,1419458803,800,800,800,622,590,0.737500,0.737500,4.00,"{""alpha"": 1.1635726216644684, ""beta"": -26.70901880872932, ""blur_kernel"": 0, ""family"": ""intensity"", ""gamma"": 1.2198777993837528, ""noise_sigma"": 6.56821176131887}"
octogons1,affine,645310058,800,800,800,517,468,0.585000,0.585000,4.00,"{""angle_deg"": -10.559788635259132, ""family"": ""affine"", ""scale"": 0.9383506091569386, ""shear_x"": 0.06773598713875875, ""shear_y"": 0.03737086349355295, ""tx_px"": -58.57923813964135, ""ty_px"": 18.018052800167702}"
octogons2,affine,1085271012,800,800,800,492,443,0.553750,0.553750,4.00,"{""angle_deg"": -10.879031894206683, ""family"": ""affine"", ""scale"": 0.9539338057706143, ""shear_x"": 0.0383651248647045, ""shear_y"": 0.020619796131115854, ""tx_px"": -45.27466589144356, ""ty_px"": 60.6711972098692}"
