scene,valid_disparity_pixels,valid_ground_truth_pixels,mae,rmse,bad_1px
artroom1,2049660,1922559,12.046224,17.294258,0.894837
artroom2,2049660,2008475,18.252907,25.761223,0.939369
bandsaw1,2049660,2002219,6.270914,8.634599,0.865024
bandsaw2,0,2004851,NA,NA,NA
chess1,0,1767536,NA,NA,NA
chess2,0,1891420,NA,NA,NA
chess3,2049660,1835761,32.605450,42.958618,0.972679
curule1,2049660,1888228,9.718798,14.449068,0.875017
curule2,2049660,1882860,22.869989,30.789711,0.964065
curule3,2049660,1936434,12.962229,18.211870,0.910725
ladder1,2049660,1964242,6.187415,8.538720,0.861883
ladder2,2049660,1945108,6.742218,9.688994,0.860720
octogons1,2049660,1908316,4.657919,6.356183,0.789469
octogons2,2049660,1962501,6.587026,8.947884,0.879514
pendulum1,2049660,1937363,14.512086,21.204884,0.927219
pendulum2,2049660,1993429,16.408237,20.816236,0.943961
podium1,0,1832241,NA,NA,NA
skates1,2049660,1544848,148.486710,170.799683,0.985485
skates2,2049660,1651689,47.253525,58.863708,0.928465
skiboots1,2049660,1800669,38.623302,46.374290,0.954572
skiboots2,0,1790824,NA,NA,NA
skiboots3,2049660,1901789,54.728889,63.233494,0.984621
traproom1,2049660,1700060,26.302362,32.859535,0.956996
traproom2,2049660,1880921,27.173107,33.658913,0.955242
