scene,fold,token_grid,valid_disparity_pixels,valid_ground_truth_pixels,mae,rmse,bad_1px,mean_confidence,estimated_working_set_mb
artroom1,0,540x960,2003744,1922559,30.268917,39.428188,0.924960,0.066409,197.753906
artroom2,1,540x960,2058976,2008475,41.044819,51.901360,0.929566,0.065254,197.753906
bandsaw1,2,540x960,2017064,2002219,18.341154,25.475037,0.830385,0.062106,197.753906
bandsaw2,3,540x960,2068216,2004851,116.145996,119.657104,1.000000,0.075015,197.753906
chess1,4,540x960,1991192,1767536,105.626198,118.900909,0.998427,0.070186,197.753906
chess2,0,540x960,2034700,1891420,104.573898,117.964485,0.999944,0.076307,197.753906
chess3,1,540x960,2005748,1835761,71.795593,81.898193,0.989092,0.071260,197.753906
curule1,2,540x960,2002260,1888228,32.082287,40.811459,0.889682,0.061302,197.753906
curule2,3,540x960,2013652,1882860,53.073509,64.356415,0.920137,0.065286,197.753906
curule3,4,540x960,2022936,1936434,18.021969,28.859343,0.739222,0.059137,197.753906
ladder1,0,960x540,2030980,1964242,8.677321,13.153502,0.775077,0.066650,197.753906
ladder2,1,960x540,2028192,1945108,8.779002,13.779422,0.770337,0.070022,197.753906
octogons1,2,540x960,2025460,1908316,11.349776,15.724729,0.859723,0.068104,197.753906
octogons2,3,540x960,2043888,1962501,11.856243,16.020603,0.841659,0.066701,197.753906
pendulum1,4,540x960,2012556,1937363,27.642483,39.880642,0.901088,0.061207,197.753906
pendulum2,0,540x960,2067408,1993429,35.445030,43.824688,0.946881,0.064259,197.753906
podium1,1,540x960,2031880,1832241,72.071602,96.030235,0.984691,0.072151,197.753906
skates1,2,540x960,2003236,1544848,200.224854,218.645905,0.994888,0.068404,197.753906
skates2,3,540x960,1904268,1651689,39.204411,51.472572,0.870809,0.070141,197.753906
skiboots1,4,540x960,2048132,1800669,62.269768,75.603607,0.903994,0.082227,197.753906
skiboots2,0,540x960,1997976,1790824,161.212708,170.798828,1.000000,0.079319,197.753906
skiboots3,1,540x960,2000888,1901789,89.703735,100.063927,0.967812,0.069374,197.753906
traproom1,2,540x960,2036440,1700060,19.067961,28.113695,0.848128,0.060822,197.753906
traproom2,3,540x960,2060904,1880921,16.613066,25.648109,0.790395,0.067288,197.753906
